,Type,Start,End,Duration,Day of Week,Budget,Currency,Clicks,Impressions,Spent,CTR,CPC,CPI,Target Age,Target Gender,Username,Email,Name,Gender,Age
0,KTR,2025-04-04,2025-09-16,165,Friday,964496,EUR,36632,500001,29586,0.07326385347229306,0.8076545097182791,0.059171881656236686,35-50,A,epennington,harmontammy@example.com,Stephanie Gonzalez,F,44
1,AKX,2024-01-30,2024-10-17,261,Tuesday,344739,GBP,67325,499999,166010,0.1346502693005386,2.4658002227998517,0.3320206640413281,20-25,M,epennington,harmontammy@example.com,Stephanie Gonzalez,F,44
2,BYU,2023-08-28,2025-01-15,506,Monday,177403,GBP,29989,499997,125738,0.059978359870159224,4.1928040281436525,0.2514775088650532,25-45,M,joshua61,ericfischer@example.net,Diana Richards,F,69
3,AKX,2025-02-16,2026-11-29,651,Sunday,618256,USD,76301,500000,75017,0.152602,0.9831719112462484,0.150034,45-60,F,joshua61,ericfischer@example.net,Diana Richards,F,69
4,AKX,2023-12-29,2025-07-21,570,Friday,113805,GBP,48915,500001,12583,0.09782980434039132,0.2572421547582541,0.025165949668100665,20-40,F,joshua61,ericfischer@example.net,Diana Richards,F,69
5,AKX,2025-01-22,2026-02-28,402,Wednesday,494645,EUR,34605,500001,63893,0.06920986158027684,1.8463516832827627,0.12778574442851115,45-65,F,dmoore,colleenroberts@example.com,Erin Rose,F,59
6,BYU,2025-06-09,2027-05-08,698,Monday,54978,EUR,27551,499996,23325,0.05510244081952655,0.8466117382309172,0.04665037320298562,40-45,A,dmoore,colleenroberts@example.com,Erin Rose,F,59
7,KTR,2024-03-22,2024-07-21,121,Friday,437533,EUR,45250,500003,355225,0.09049945700325798,7.850276243093923,0.710445737325576,40-65,A,ssmith,courtney04@example.com,Karen Jones,F,25
8,AKX,2024-10-24,2026-02-05,469,Thursday,652250,USD,43328,500003,514363,0.0866554800671196,11.871376477104874,1.0287198276810339,40-60,F,ssmith,courtney04@example.com,Karen Jones,F,25
9,BYU,2024-05-29,2025-10-14,503,Wednesday,644247,GBP,29826,500000,247500,0.059652,8.298129149064575,0.495,25-35,A,ssmith,courtney04@example.com,Karen Jones,F,25
10,BYU,2024-04-15,2025-09-28,531,Monday,14987,EUR,67477,500000,14701,0.134954,0.2178668286971857,0.029402,45-55,A,gibsontroy,sherri39@example.net,Jeremy Preston,O,36
11,BYU,2024-04-23,2024-07-27,95,Tuesday,575806,GBP,43680,500001,423490,0.08735982528034944,9.695283882783883,0.8469783060433879,45-60,M,gibsontroy,sherri39@example.net,Jeremy Preston,O,36
12,GRZ,2023-09-29,2025-08-07,678,Friday,872556,GBP,73087,500005,156454,0.14617253827461726,2.140654288724397,0.3129048709512905,30-35,F,gibsontroy,sherri39@example.net,Jeremy Preston,O,36
13,KTR,2024-02-08,2024-12-07,303,Thursday,872166,GBP,54309,499996,592941,0.1086188689509516,10.917914157874385,1.185891487131897,20-30,F,bscott,carl86@example.com,Julie Wells,F,62
14,KTR,2025-07-17,2025-10-13,88,Thursday,407435,GBP,21341,500001,128347,0.04268191463617073,6.014104306264936,0.25669348661302677,25-35,F,bscott,carl86@example.com,Julie Wells,F,62
15,GRZ,2024-03-07,2024-05-27,81,Thursday,862509,GBP,13881,500002,524260,0.02776188895244419,37.76817232187883,1.0485158059367763,35-50,F,bscott,carl86@example.com,Julie Wells,F,62
16,GRZ,2024-01-23,2024-11-24,306,Tuesday,839132,EUR,48589,499999,232401,0.09717819435638872,4.7829961513922905,0.4648029296058592,25-45,F,bscott,carl86@example.com,Julie Wells,F,62
17,GRZ,2024-07-13,2024-12-20,160,Saturday,346816,GBP,46294,499999,344615,0.09258818517637035,7.444053225039962,0.689231378462757,45-60,F,bscott,carl86@example.com,Julie Wells,F,62
18,GRZ,2024-06-27,2026-01-25,577,Thursday,35775,USD,48982,499999,9389,0.09796419592839185,0.19168265893593564,0.01877803755607511,25-45,A,lgarcia,marcojohnson@example.org,Carlos Mason,M,19
19,BYU,2025-01-22,2025-06-24,153,Wednesday,857203,USD,23062,499999,429949,0.0461240922481845,18.643179255918827,0.8598997197994396,35-40,A,lgarcia,marcojohnson@example.org,Carlos Mason,M,19
20,AKX,2024-06-12,2025-07-09,392,Wednesday,206794,GBP,9211,500000,9880,0.018422,1.0726305504288352,0.01976,40-65,F,lgarcia,marcojohnson@example.org,Carlos Mason,M,19
21,KTR,2024-09-06,2026-01-20,501,Friday,145912,EUR,36072,500006,140389,0.07214313428238861,3.8919106231980485,0.28077463070443154,40-60,M,lgarcia,marcojohnson@example.org,Carlos Mason,M,19
22,BYU,2024-08-16,2024-11-10,86,Friday,75131,EUR,35609,499996,42591,0.07121856974855799,1.1960740262293241,0.08518268146145169,20-30,A,lgarcia,marcojohnson@example.org,Carlos Mason,M,19
23,BYU,2025-04-04,2026-08-22,505,Friday,756440,GBP,37731,499998,336761,0.0754623018492074,8.925313402772256,0.6735246940987764,25-45,A,uschneider,reedbilly@example.net,Raymond Moore,O,62
24,KTR,2024-08-09,2026-06-24,684,Friday,204017,EUR,54466,499997,145673,0.10893265359592158,2.6745676201667097,0.2913477480864885,35-45,A,uschneider,reedbilly@example.net,Raymond Moore,O,62
25,KTR,2024-02-20,2025-04-14,419,Tuesday,123181,EUR,28074,499999,37075,0.056148112296224593,1.3206169409417967,0.0741501483002966,35-45,F,uschneider,reedbilly@example.net,Raymond Moore,O,62
26,KTR,2024-05-08,2026-01-08,610,Wednesday,483453,USD,20487,499997,303264,0.04097424584547507,14.802752965295065,0.6065316391898351,30-45,A,uschneider,reedbilly@example.net,Raymond Moore,O,62
27,GRZ,2023-12-06,2024-04-01,117,Wednesday,511050,EUR,41226,500000,492131,0.082452,11.937393877650027,0.984262,30-45,M,uschneider,reedbilly@example.net,Raymond Moore,O,62
28,KTR,2025-07-17,2026-06-05,323,Thursday,867531,EUR,8974,500000,403465,0.017948,44.95932694450635,0.80693,35-55,F,uschneider,reedbilly@example.net,Raymond Moore,O,62
29,AKX,2024-08-25,2026-01-21,514,Sunday,358213,GBP,50698,500002,264973,0.10139559441762233,5.226498086709535,0.5299438802244791,45-60,A,kerrihall,moorecrystal@example.org,Lydia Snyder,F,79
